month,avg_temp,total_rain,total_snow,rain_hours,snow_hours,precip_hours,weighted_index,no_precip_flag,month_label
1,-0.4682795698924731,18.900000000000002,323.7,21,169,190.0,2823.9315789473685,0,01
2,3.83433908045977,74.7,525.4,37,93,130.0,2675.8384615384616,0,02
3,6.905241935483871,29.9,0.0,21,0,21.0,2929.9523809523807,0,03
4,16.301944444444445,33.2,0.0,29,0,29.0,3307.103448275862,0,04
5,18.467473118279568,125.1,0.0,70,0,70.0,2990.7,0,05
6,24.5675,115.9,0.0,42,0,42.0,2308.809523809524,0,06
7,26.55766129032258,557.3,0.0,126,0,126.0,2805.8492063492063,0,07
8,29.31787634408602,72.8,0.0,30,0,30.0,2882.866666666667,0,08
9,25.473333333333333,143.9,0.0,76,0,76.0,2619.6315789473683,0,09
10,16.670026881720432,74.0,0.0,38,0,38.0,2904.2105263157896,0,10
11,9.743472222222222,60.0,1204.5,21,96,117.0,2758.4957264957266,0,11
12,0.8852150537634409,5.7,146.3,8,84,92.0,2635.1195652173915,0,12
